stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3928,48028011,ALTXIKERRE (3928),,43.380915364563,-2.58207764152294,5,,0,,Europe/Madrid,0,0,
3929,48028017,MENDIOLA (3929),,43.372506998197,-2.5639220716042,5,,0,,Europe/Madrid,0,0,
3930,48028012,ALTXIKERRE (3930),,43.3810046643163,-2.58251466598873,5,,0,,Europe/Madrid,0,0,
3931,48028019,BIAX (3931),,43.3824283452634,-2.57724015713736,5,,0,,Europe/Madrid,0,0,
3932,48028020,BIAX (3932),,43.3825362592413,-2.57720237070444,5,,0,,Europe/Madrid,0,0,
3933,48028013,OLABE (3933),,43.3781156408361,-2.57555977314785,5,,0,,Europe/Madrid,0,0,
3934,48028014,OLABE (3934),,43.3780248652069,-2.57536289258081,5,,0,,Europe/Madrid,0,0,
3935,48028018,MENDIOLA (3935),,43.3727396488182,-2.56353775502407,5,,0,,Europe/Madrid,0,0,
3936,48028015,BEDARONA (3936),,43.3774855695159,-2.57079919116631,5,,0,,Europe/Madrid,1,0,
3937,48028016,BEDARONA (3937),,43.3774940640903,-2.57066334174088,5,,0,,Europe/Madrid,1,0,
3938,48003031,PARTICULAR DE SAN PEDRO (3938),,43.2240360525259,-2.73961850558851,3,,0,,Europe/Madrid,1,0,
3939,48003001,PARTICULAR DE SAN PEDRO (3939),,43.2240982155995,-2.7392365219766,3,,0,,Europe/Madrid,0,0,
3940,48067007,OKA (3940),,43.2665396860247,-2.68600572533302,4,,0,,Europe/Madrid,0,0,
3941,48067020,OKA (3941),,43.2662881135683,-2.68620909943936,4,,0,,Europe/Madrid,0,0,
3942,48041023,ERREKALDE (3942),,43.3461875988103,-2.65285322095485,5,,0,,Europe/Madrid,0,0,
3943,48041024,ERREKALDE (3943),,43.3464760758854,-2.6529626210215,5,,0,,Europe/Madrid,0,0,
3944,48078050,BUENAVISTA (3944),,43.3206521715475,-3.03072879706632,2,,0,,Europe/Madrid,1,0,
3945,48020088,ENSANCHE PLAZA (MAPFRE) (3945),,43.2639504943048,-2.93047759903117,1,,0,,Europe/Madrid,1,0,
3948,48020153,TERMIBUS (ZUNZUNEGI) (3948),,43.2626997501793,-2.95057925544202,1,,0,,Europe/Madrid,1,0,
3949,48020196,ABANDO (GELTOKIA/ESTACIÓN) (3949),,43.260383391625,-2.92844884324146,1,,0,,Europe/Madrid,1,0,
3950,48020198,ABANDO (GELTOKIA/ESTACIÓN) (3950),,43.2600955569495,-2.92895433214651,1,,0,,Europe/Madrid,0,0,
3953,48078040,AZETA (3953),,43.3154508876809,-3.0123762268997,2,,0,,Europe/Madrid,1,0,
3954,48013109,LANDETA (BEKOA) (3954),,43.2931014157386,-2.98909798329206,2,,0,,Europe/Madrid,1,0,
3955,48078049,CAMPANZAR (3955),,43.3228577221228,-3.02877394632498,2,,0,,Europe/Madrid,1,0,
3958,48052018,GOIKOLEXEA (3958),,43.2671009940862,-2.78483573538467,3,,0,,Europe/Madrid,0,0,
3959,48052023,URKULU (3959),,43.2516139961638,-2.80015641390749,3,,0,,Europe/Madrid,0,0,
3960,48052024,URKULU (3960),,43.2507160623848,-2.80161297782437,3,,0,,Europe/Madrid,0,0,
3961,48095009,UNIBERTSITATEA / UNIVERSIDAD (3961),,43.1790168557765,-2.49030737897888,4,,0,,Europe/Madrid,0,0,
3962,20030008,UNTZAGA PLAZA (EGOGAIN KALEA) (3962),,43.1839454279757,-2.47506918414543,5,,0,,Europe/Madrid,1,0,
3963,20030010,UNIBERTSITATEA / UNIVERSIDAD (3963),,43.1801870108616,-2.48820585210799,5,,0,,Europe/Madrid,1,0,
3964,48069064,BEKO KALE (TORREBILLELA) (3964),,43.3534121511104,-2.84877156489714,3,,0,,Europe/Madrid,1,0,
3965,48069063,BEKO KALE (TORREBILLELA) (3965),,43.353781254037,-2.84870894981866,3,,0,,Europe/Madrid,1,0,
3966,20030009,AMAÑA (3966),,43.1845576421163,-2.48031139093142,5,,0,,Europe/Madrid,0,0,
3967,20030007,ESCUELA ARMERIA/ARMERIA ESKOLA (ARMERIA) (3967),,43.1833247285243,-2.47914755485683,5,,0,,Europe/Madrid,1,0,
3968,48034010,GIPUZKOA ETORBIDEA 1 (3968),,43.1845735741643,-2.50067152192902,5,,0,,Europe/Madrid,0,0,
3969,48034003,GIPUZKOA ETORBIDEA 16 (SAN ANTONIO) (3969),,43.1837117507121,-2.49921420636869,5,,0,,Europe/Madrid,1,0,
3970,48034007,ZEHARKALEA 26 (KIROLDEGIA/POLIDEPORTIVO) (3970),,43.1870567037985,-2.50785573457904,5,,0,,Europe/Madrid,1,0,
3971,48019003,URIBE (3971),,43.1667045663228,-2.5587964985682,4,,0,,Europe/Madrid,0,0,
3972,48019002,URIBE (3972),,43.1665700670759,-2.55894508985909,4,,0,,Europe/Madrid,0,0,
